player;0;0
wall;2;0;wooden_wall.txt
wall;2;1;wooden_wall.txt
wall;2;2;wooden_wall.txt
wall;2;-1;wooden_wall.txt
wall;2;-2;wooden_wall.txt
wall;1;2;wooden_wall.txt
wall;1;-2;wooden_wall.txt
wall;0;2;wooden_wall.txt
wall;0;-2;wooden_wall.txt
wall;-1;2;wooden_wall.txt
wall;-1;-2;wooden_wall.txt
wall;-2;2;wooden_wall.txt
wall;-2;-2;wooden_wall.txt
wall;-3;2;wooden_wall.txt
wall;-3;-2;wooden_wall.txt
wall;-4;2;wooden_wall.txt
wall;-4;-2;wooden_wall.txt
wall;-5;2;wooden_wall.txt
wall;-5;-2;wooden_wall.txt
wall;-6;2;wooden_wall.txt
wall;-6;-2;wooden_wall.txt
wall;-7;2;wooden_wall.txt
wall;-7;-2;wooden_wall.txt
wall;-7;1;wooden_wall.txt
wall;-7;-1;wooden_wall.txt
door;-7;0;closed
door_switch;-7;0;-7;0
wall;-7;3;wooden_wall.txt
wall;-7;4;wooden_wall.txt
wall;-7;5;wooden_wall.txt
wall;-7;6;wooden_wall.txt
wall;-7;7;wooden_wall.txt
wall;-7;-3;wooden_wall.txt
wall;-7;-4;wooden_wall.txt
wall;-7;-5;wooden_wall.txt
wall;-7;-6;wooden_wall.txt
wall;-7;-7;wooden_wall.txt
wall;-8;7;wooden_wall.txt
wall;-8;-7;wooden_wall.txt
wall;-9;7;wooden_wall.txt
wall;-9;-7;wooden_wall.txt
wall;-10;7;wooden_wall.txt
wall;-10;-7;wooden_wall.txt
wall;-11;7;wooden_wall.txt
wall;-11;-7;wooden_wall.txt
wall;-12;7;wooden_wall.txt
wall;-12;-7;wooden_wall.txt
wall;-13;7;wooden_wall.txt
wall;-13;-7;wooden_wall.txt
wall;-14;7;wooden_wall.txt
wall;-14;-7;wooden_wall.txt
wall;-15;7;wooden_wall.txt
wall;-15;-7;wooden_wall.txt
wall;-16;7;wooden_wall.txt
wall;-16;-7;wooden_wall.txt
wall;-17;7;wooden_wall.txt
wall;-17;-7;wooden_wall.txt
wall;-17;-6;wooden_wall.txt
wall;-17;-5;wooden_wall.txt
wall;-17;-4;wooden_wall.txt
wall;-17;-3;wooden_wall.txt
wall;-17;-2;wooden_wall.txt
wall;-17;-1;wooden_wall.txt
door;-17;0;closed
door_switch;-17;0;-17;0
wall;-17;6;wooden_wall.txt
wall;-17;5;wooden_wall.txt
wall;-17;4;wooden_wall.txt
wall;-17;3;wooden_wall.txt
wall;-17;2;wooden_wall.txt
wall;-17;1;wooden_wall.txt
sign;-14;2;You woke up in a hallway. You don't remember anything. Who are you? What are you doing here? How did you end up here? OBJECTIVE: Explore!
wall;-17;8;wooden_wall.txt
wall;-17;9;wooden_wall.txt
wall;-17;10;wooden_wall.txt
wall;-17;-8;wooden_wall.txt
wall;-17;-9;wooden_wall.txt
wall;-17;-10;wooden_wall.txt
wall;-18;10;wooden_wall.txt
wall;-18;-10;wooden_wall.txt
wall;-19;10;wooden_wall.txt
wall;-19;-10;wooden_wall.txt
door;-20;10;closed
door_switch;-20;10;-20;10
door;-20;-10;closed
door_switch;-20;-10;-20;-10
wall;-21;10;wooden_wall.txt
wall;-21;-10;wooden_wall.txt
wall;-22;10;wooden_wall.txt
wall;-22;-10;wooden_wall.txt
wall;-23;10;wooden_wall.txt
wall;-23;-10;wooden_wall.txt
wall;-24;10;wooden_wall.txt
wall;-24;-10;wooden_wall.txt
wall;-25;10;wooden_wall.txt
wall;-25;-10;wooden_wall.txt
wall;-25;-9;wooden_wall.txt
wall;-25;-8;wooden_wall.txt
wall;-25;-7;wooden_wall.txt
wall;-25;-6;wooden_wall.txt
wall;-25;-5;wooden_wall.txt
wall;-25;-4;wooden_wall.txt
wall;-25;-3;wooden_wall.txt
wall;-25;-2;wooden_wall.txt
wall;-25;-1;wooden_wall.txt
wall;-25;9;wooden_wall.txt
wall;-25;8;wooden_wall.txt
wall;-25;7;wooden_wall.txt
wall;-25;6;wooden_wall.txt
wall;-25;5;wooden_wall.txt
wall;-25;4;wooden_wall.txt
wall;-25;3;wooden_wall.txt
wall;-25;2;wooden_wall.txt
wall;-25;1;wooden_wall.txt
mapPortal;-25;0;obj.txt
sign;-24;0;Please do not enter the portal, it's not done yet.
wall;-26;10;wooden_wall.txt
wall;-26;-10;wooden_wall.txt
wall;-27;10;wooden_wall.txt
wall;-27;-10;wooden_wall.txt
wall;-28;10;wooden_wall.txt
wall;-28;-10;wooden_wall.txt
wall;-28;11;wooden_wall.txt
wall;-28;12;wooden_wall.txt
wall;-28;13;wooden_wall.txt
wall;-28;14;wooden_wall.txt
wall;-28;15;wooden_wall.txt
wall;-28;16;wooden_wall.txt
wall;-28;17;wooden_wall.txt
wall;-28;18;wooden_wall.txt
wall;-28;19;wooden_wall.txt
wall;-28;20;wooden_wall.txt
wall;-28;21;wooden_wall.txt
wall;-28;22;wooden_wall.txt
wall;-28;23;wooden_wall.txt
wall;-28;24;wooden_wall.txt
wall;-28;25;wooden_wall.txt
wall;-28;26;wooden_wall.txt
wall;-28;27;wooden_wall.txt
wall;-28;28;wooden_wall.txt
wall;-28;29;wooden_wall.txt
wall;-28;30;wooden_wall.txt
wall;-28;31;wooden_wall.txt
wall;-28;32;wooden_wall.txt
wall;-28;33;wooden_wall.txt
wall;-28;34;wooden_wall.txt
wall;-28;35;wooden_wall.txt
wall;-28;36;wooden_wall.txt
wall;-28;37;wooden_wall.txt
